"NAME","CONFIRMEDS","RECOVERERS","DEATHS"
"الأخصاص",0,43,1
"سيدي افني",0,1,0
"مستي",0,1,0
"اصبويا",6,0,0
"إمي نفاست",0,5,0
"اثنين أملو",0,0,0
"تانڭرفا",0,1,0
"تيوغزة",3,4,0
"أربعاء آيت عبد الله",0,0,0
"ميرلفت",0,0,0
"سيدي امبارك",0,36,3
"سيدي احساين أو علي",0,41,1
"آيت الرخا",0,3,1
"سيدي عبد الله أو بلعيد",0,0,0
"تغيرت",0,0,2
"بوطروش",0,3,0
"أبيضر",0,499,4
"سبت النابور",0,52,0
"انفك",0,13,1
