"NAME","CONFIRMEDS","RECOVERERS","DEATHS"
"الأخصاص",10,43,1
"سيدي افني",5,1,0
"مستي",3,1,0
"اصبويا",4,0,0
"إمي نفاست",8,5,0
"اثنين أملو",3,0,0
"تانڭرفا",9,1,0
"تيوغزة",3,4,0
"أربعاء آيت عبد الله",12,0,0
"ميرلفت",15,0,0
"سيدي امبارك",8,36,3
"سيدي احساين أو علي",8,41,1
"آيت الرخا",16,3,1
"سيدي عبد الله أو بلعيد",20,0,0
"تغيرت",44,0,2
"بوطروش",50,3,0
"أبيضر",7,499,4
"سبت النابور",8,52,0
"انفك",3,13,1
